ISRC,UPC,track_name,album_name,artist_name,country,platform,report_month,streams,revenue,currency
INN892300105,8905900219809,Morom Hiyate,Morom Hiyate,Moorchana Das,IN,JioSaavn,01-06-2025,2,0.23154372,INR
INN892300376,8905992045874,Roi Roi Sau,Tumar Babe,Abhi Phukan  Biky Dutta  Hriday Nanda Saikia,IN,JioSaavn,01-06-2025,3,0.14025,INR
INN892300149,8905900443624,Ami Axomiya,Ami Axomiya,Ayandeep Gogoi,IN,JioSaavn,01-06-2025,3,0.41633745,INR
INN892300131,8905900074514,Butterfly (Bonus Track),Nothing Just Chilling,Manyata  Reyan,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892300165,8905900544338,Maula Mere,Maula Mere,Paul Mahanta  Yasir Nadim,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892200200,8905778332716,Premor Aboron (Promo),Premor Aboron (Promo),Anurag Pritam  Priyanka Swain  Priyanuj Bairagi  Sonmoni Gowala,IN,JioSaavn,01-06-2025,7,0.32725,INR
INN892200180,8905778237707,Pateka,Pateka,Nehal Lamichhane  Papa Crock,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892200199,8905778327767,Paiu Heruwalu,Paiu Heruwalu,Sarat Samujal,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892300113,8905900289758,Mon Moyuri,Mon Moyuri,Mon Akash  Skkai  Upxsic,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892300077,8905900065222,Lonely (Instrumental),Lonely (Instrumental),Dhritiraj Buragohain,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892300255,8905992123367,Ishq Janiya,Ishq Janiya,Paul Mahanta  Saurav Hazarika,IN,JioSaavn,01-06-2025,325,20.37432215,INR
INN892200231,8905778713027,Musafir,Musafir,Pritam Kagyung  Ritu,IN,JioSaavn,01-06-2025,3,0.14025,INR
INN892300099,8905900198357,Jiuna Deu Uslai,Jiuna Deu Uslai,Nehal Lamichhane,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892300145,8905900408661,Laloi,Rongali,Amlan Jyoti Bora  Priyanuj Bairagi  Sahil RanJan  Tirtha Hazarika,IN,JioSaavn,01-06-2025,8,0.65008745,INR
INN892300309,8905992373953,Pepa Khati Bass,Pepa Khati Bass,Dj Mali,IN,JioSaavn,01-06-2025,49,8.9168487,INR
INN892300117,8905900306004,Dukhor Bina,Dukhor Bina,Debasish Das  Garima Das,IN,JioSaavn,01-06-2025,2,0.23154372,INR
INN892300175,8905900607194,Meghali Sawoni,Meghali Sawoni,Aaxih  Amlan Jyoti Bora  Beesaal Music  Stuti Sarmah,IN,JioSaavn,01-06-2025,37,1.72975,INR
INN892300152,8905900453982,Bandhoi,Bandhoi,Pankaj Pran  Papori Gogoi  Siddhant Sagar,IN,JioSaavn,01-06-2025,15,0.79254372,INR
INN892300140,8905900347854,Nah Maane 2.0,Nah Maane 2.0,Devapradip Baruah  Nitish Sarma  Rohan Saikia  Yasir Nadim,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892300044,8905778936471,Dusto,Dusto,BHK Bhaskar  Rahul,IN,JioSaavn,01-06-2025,3,0.41633745,INR
INN892300279,8905992179890,Ayang Okum,Ayang Okum,Ramchandra  Ritu,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892300254,8905992094964,Meri Ama,Meri Ama,Omprakash koirala  Suman Koirala,IN,JioSaavn,01-06-2025,3,0.27829372,INR
INN892200106,8905778027926,Kobita,Kobita,Ashish,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892200171,8905778174811,Tumi Ahiba,Tumi Ahiba,Aaichang  Amlan Jyoti Bora  Anurag Pritam,IN,JioSaavn,01-06-2025,20,0.935,INR
INN892300213,8905900767911,Jhankar,Jhankar,Aslesha Boruah  Pritom Prakash  Priyanuj Bairagi,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892300073,8905900056947,Xur,Xur,Upxsic,IN,JioSaavn,01-06-2025,2,0.0935,INR
INN892300242,8905992041784,Pawe Pori Hori Borgeet (???? ??? ???),Pawe Pori Hori,Anurag Dutta  Banchan Borkotoky,IN,JioSaavn,01-06-2025,5,0.37179372,INR
INN892200007,8905574521321,Pahilo Maya,Pahilo Maya,Nitish Sarma  Subham Chetry,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892300223,8905900853942,Kho Gya,Kho Gya,Harsh Verma,IN,JioSaavn,01-06-2025,90,5.05693106,INR
INN892200237,8905778729769,Tumaloi,Tumaloi,Kapil Tanti,IN,JioSaavn,01-06-2025,0,0,INR
INN892200034,8905574615174,Tor Sang Pyar Hoge Na,Tor Sang Pyar Hoge Na,Chandan Lohara  Nehal Lamichhane  Rima Ekka,IN,JioSaavn,01-06-2025,34,1.566125,INR
INN892300023,8905778852740,Over The Horizon,Over The Horizon,Raw Burn,IN,JioSaavn,01-06-2025,7,0.33669824,INR
INN892300071,8905900056985,Runjun,Runjun,Anurag Dutta  Banchan Borkotoky,IN,JioSaavn,01-06-2025,77,3.68883745,INR
INN892300153,8905900408661,Rongali,Rongali,Amlan Jyoti Bora  Babon dev  Priyanuj Bairagi  Sahil RanJan,IN,JioSaavn,01-06-2025,179,11.03275168,INR
INN892300274,8905992158338,Mor Sona Re,Mor Sona Re,Dipjyoti Mahli  Kapil Tanti,IN,JioSaavn,01-06-2025,176,9.30235595,INR
INN892400106,8909040968771,Tumi Ahiba Buli,Anubhuti,Tarali Sarma,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892400378,8909154982090,Tera Rasta,Tera Rasta,ABBY ARRY  Gaurav Deori,IN,JioSaavn,01-06-2025,2,0.0935,INR
INN892300444,8909040292005,Sinaki Godhuli,Sinaki Godhuli,Dhiraj Jyoti,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892400299,8909091801454,Adharatia Jhumoor,Adharatia Jhumoor,Jagrat Bhuyan  Siddhant Sagar  Tulika Nayak,IN,JioSaavn,01-06-2025,3,0.14025,INR
INN892400307,8909091942898,Choti Si Kasti,Choti Si Kasti,Junaid Siddique  Sandhan Choudhury,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892400249,8909091459877,Muhiniban,Muhiniban,Dikshu  Lizamoni Senchowa,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892400241,8909091423632,Kakenu Rakhim Bukute,Kakenu Rakhim Bukute,Dimpol Saikia  Rupom Nath  Sarat Samujal,IN,JioSaavn,01-06-2025,22,1.01009471,INR
INN892500013,8905992398093,Tumi Jen Mur,Tumi Jen Mur,Bikram Patowary  Prashu  Sandhan Choudhury,IN,JioSaavn,01-06-2025,2,0.0935,INR
INN892400372,8909154899473,Koir Dele Moke Deewana,Koir Dele Moke Deewana,Jyotika Baruah  Kapil Tanti,IN,JioSaavn,01-06-2025,9,0.44191872,INR
INN892400027,8909040728573,Kekuri,Kekuri,Adishna Rajbongshi  Mridupawan Rick  Paplu Chetia,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892500059,8909225918539,Har Har Mahadev,Har Har Mahadev,Krishna Das  Rishav Babu,IN,JioSaavn,01-06-2025,11,0.51425,INR
INN892500083,8909352068077,Nazron Main Teri,Nazron Main Teri,Uttam Boruah,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892500079,8909352034683,Hridoyor Dolisa,Hridoyor Dolisa,Parizat Priyaam  Utpal Das,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892500100,8909352166094,Radhika,Radhika,Kumudini Saraswati  Siddhant Sagar,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892500057,8909225871742,Faguni Tumi,Faguni Tumi,Anurag Pritam  Neha Dutta  Sonmoni Gowala,IN,JioSaavn,01-06-2025,2,0.0935,INR
INN892400033,8909040738640,Monalisa 2024,Monalisa 2024,Gaurav Borah  Karishma Devi,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892400054,8909040789543,Gabw jwng mwdwi,Abou Ni Lengthi,Sai Biraj,IN,JioSaavn,01-06-2025,4,0.187,INR
INN892400153,8909091258036,Koilaxote Tumare Dham,Koilaxote Tumare Dham,Abhi Phukan  Krishna Das  Rishav Babu,IN,JioSaavn,01-06-2025,6,0.2805,INR
INN892500036,8905285127584,Xeuti Hepah,Xeuti Hepah,Babon dev,IN,JioSaavn,01-06-2025,7,0.303875,INR
INN892400240,8909091423625,Tere Bin,Tere Bin,Harshit  Swarran,IN,JioSaavn,01-06-2025,2,0.0935,INR
INN892400146,8909091178815,Kahini,Kahini,Abhilekh Bikash  Nabangshu Aryan,IN,JioSaavn,01-06-2025,15,1.11538117,INR
INN892300375,8905992929242,Rowd Hoi Ahana,Rowd Hoi Ahana,Anshuraj Kashyap  Anubhav Ju  Mridupawan Rick,IN,JioSaavn,01-06-2025,15,0.79254372,INR
INN892400329,8909154249148,Prempokhila,Prempokhila,Kritartha Kashyap  Pallab Borax,IN,JioSaavn,01-06-2025,11,0.90500617,INR
INN892400224,8909091404518,Tumi Ohar Batori Pale,Jayashrir Madhukantha Vol I,Dr Jayashri Devi,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892500016,8905992398949,Uruka,Uruka,Chand Das  Priyanshu Dutta,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892400353,8909154625973,Tumi Mur,Tumi Mur,Dipankar Gogoi  Sarat Samujal,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892400136,8909091139731,Akou Ahibane,Akou Ahibane,Abhi Phukan  Biplab Octave,IN,JioSaavn,01-06-2025,3,0.14025,INR
INN892300473,8909040531838,Laj Lajkoi,Laj Lajkoi,Nilakshi Neog  Pritom Prakash,IN,JioSaavn,01-06-2025,3,0.14025,INR
INN892400062,8909040830146,Heart Touching Flute Music,Heart Touching Flute,Bikash Jyoti Saikia,IN,JioSaavn,01-06-2025,2,0.0935,INR
INN892300415,8909040234111,Driver Babu,Driver Babu,Kapil Tanti,IN,JioSaavn,01-06-2025,4,0.163625,INR
INN892400147,8909091183697,Bhosmodhula,Baba Mahadev,Rishav Babu,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892500094,8909352111469,O Xomay,Merpaak,Jyotipall,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892400096,8909040949480,Nuxudhiba Mur Batori,Dusokur Bhaxare,Pulok Banerjee,IN,JioSaavn,01-06-2025,2,0.23154372,INR
INN892400322,8909154129037,Rodali,Rodali,Binti Bora  Prantu,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892400423,8909225504923,Haye Rabba,Haye Rabba,Ranamit Sarma  Siddharth Bharadwaj,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892500040,8909225851539,Xondhya Bela,Xondhya Bela,Bumon  Ipshita Dutta  Nepur Ranjan  Niel Music,IN,JioSaavn,01-06-2025,27,1.26225,INR
INN892300454,8909040357513,Podum Pahe Pahe,Podum Pahe Pahe,Apurba Jyoti Mohan  Kamalika Kashyap  Mridupawan Rick,IN,JioSaavn,01-06-2025,6,0.41854372,INR
INN892400247,8909091434294,Kio Gola Atori,Kio Gola Atori,Rishav Babu,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892300364,8905992810847,Adiya No,Adiya No,Bhuvan  Lekhan Kumbang,IN,JioSaavn,01-06-2025,17,0.70125,INR
INN892400097,8909040949497,Bhobatu Nasilu,Xomoy,Surajit Mahanta,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892400243,8909091433945,Mousumi,Mousumi,Tanmayee Mahanta,IN,JioSaavn,01-06-2025,2,0.0935,INR
INN892400388,8909225135493,Uka Buku,Uka Buku,Bohniman  Nepur Ranjan,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892400233,8909091404518,Protitu Torai Pakhi Logai,Jayashrir Madhukantha Vol I,Dr Jayashri Devi,IN,JioSaavn,01-06-2025,2,0.0935,INR
INN892400279,8909091665391,Sholay Ka Don,Sholay Ka Don,NOSIKITO  RK WARRIOR,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892300470,8909040504320,We Connect (The Sound Of Youth),We Connect (The Sound Of Youth),Abhilekh Bikash  Nabangshu Aryan,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892400061,8909040830139,Lajuki Mon,Lajuki Mon,Nyyrn  Swarran,IN,JioSaavn,01-06-2025,2,0.0935,INR
INN892400445,8905574239127,BOROXUN,BOROXUN,$PYDER  PROG BEATS,IN,JioSaavn,01-06-2025,7,0.303875,INR
INN892400429,8909225638871,Hori Nase,Hori Nase,Abhi Phukan  Rishav Babu  gauranga Saikia,IN,JioSaavn,01-06-2025,5,0.210375,INR
INN892500021,8909040342755,Hun Moina,Hun Moina,Angad Mech  Mintu Raj  Pratiksha Borah,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892300478,8909040568995,Sanjh Hoi Gel,Sanjh Hoi Gel,Nehal Lamichhane,IN,JioSaavn,01-06-2025,2,0.0935,INR
INN892400079,8909040931645,Henguliya Akaax,Henguliya Akaax,Rupam Bhuyan,IN,JioSaavn,01-06-2025,1,0.18479372,INR
INN892400331,8909154249162,Dekhenge Tumhein,Dekhenge Tumhein,Weediee,IN,JioSaavn,01-06-2025,1,0.023375,INR
INN892400384,8909225116737,Tumi Nai,Tumi Nai,Nabangshu Aryan,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892400289,8909091746953,Alfuliya,Alfuliya,Anurag Sarmah  Parag Priyam  Rhe05Tat,IN,JioSaavn,01-06-2025,32,1.84000617,INR
INN892400080,8909040931652,Bisora Morom,Bisora Morom,Rupam Bhuyan,IN,JioSaavn,01-06-2025,5,0.210375,INR
INN892400053,8909040789543,Lengthi thebna,Abou Ni Lengthi,Sai Biraj,IN,JioSaavn,01-06-2025,4,0.163625,INR
INN892400052,8909040789543,Abou Ni Lengthi - Title,Abou Ni Lengthi,Sai Biraj,IN,JioSaavn,01-06-2025,9,0.67346245,INR
INN892400310,8909091964456,Dibrugarh University Special Farewell Song,Dibrugarh University Special Farewell Song,Asad Hussain  Rohan Choudhury,IN,JioSaavn,01-06-2025,7,0.32725,INR
INN892400024,8909040714477,Birina,Birina,Beesaal Music  Shyamal Gogoi,IN,JioSaavn,01-06-2025,5,0.37179372,INR
INN892400256,8909091495592,Mathu Tumi Mure Huwa,Mathu Tumi Mure Huwa,Nibir Saharia,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892300371,8905992838605,Tumi Aahisa Buli,Tumi Aahisa Buli,Anshuraj Kashyap  Mridupawan Dutta  Paplu Chetia,IN,JioSaavn,01-06-2025,2,0.0935,INR
INN892400259,8909091497404,Mubarak Eid Mubarak,Mubarak Eid Mubarak,Rohan Choudhury,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892400326,8909154225098,Sinaki Pokhi,Sinaki Pokhi,Amar Jyoti Gayon  Anurag Dutta  Banchan Borkotoky,IN,JioSaavn,01-06-2025,5,0.34841872,INR
INN892400025,8909040714460,SAJNI,SAJNI,Nehal Lamichhane  SID X MELLOW,IN,JioSaavn,01-06-2025,89,4.16075,INR
INN892300474,8909040531845,Tuu Basaa,Tuu Basaa,Samir,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892400400,8909225323135,Lajuki Hahi,Lajuki Hahi,Diwakar  Hrishikesh  Parijat,IN,JioSaavn,01-06-2025,15,1.02188117,INR
INN892400351,8909154625812,RADHA - Title Track,RADHA - Title Track,Arnob  Nabajit Kachari,IN,JioSaavn,01-06-2025,2,0.0935,INR
INN892300382,8905992950802,Hiyare Baxona,Hiyare Baxona,Nabangshu Aryan,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892400234,8909091404525,Prati Pal Prati Pode,Jayashrir Madhukantha Vol II,Dr Jayashri Devi,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892400430,8909225638888,Kanai Keli Kore (Rash Leela Song),Kanai Keli Kore,Rishav Babu,IN,JioSaavn,01-06-2025,2,0.0935,INR
INN892400150,8909091248716,Protipol,Protipol,Faruk Music  Harshajit Goswami  Sahil RanJan,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892400382,8909225116713,Borduwat Sankardeve,Amar Guru 2025,Rishav Babu,IN,JioSaavn,01-06-2025,4,0.187,INR
INN892400264,8909091542159,Junak Nixa,Junak Nixa,Ankur Kashyap Music  Rintu Kachari,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892500090,8909352086620,Hati Burha Hole,Hati Burha Hole,BARNALI DOHUTIA  Bhuban Moran,IN,JioSaavn,01-06-2025,5,0.23375,INR
INN892500056,8909225871735,Xorotor Xewali,Xorotor Xewali,Bhuban Moran  Bibrat Anupal Moran  Zems Moran,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892500071,8909225965281,Moupriya (DK 24th Version),Moupriya (DK 24th Version),Monikanchan Films Production  Pratisa Dutta  Ripunjay Kalita,IN,JioSaavn,01-06-2025,1,0.023375,INR
INN892400371,8909154899466,Xaliki Pua,Xaliki Pua,Nabangshu Aryan  Sandipta Akash  Udvawan Saikia,IN,JioSaavn,01-06-2025,6,0.2805,INR
INN892400145,8909091178808,Har Har Mahadev,Har Har Mahadev,Nipu Bhuyan  Surajit Mahanta,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892400334,8909154375946,Priyotoma,Priyotoma,Babon dev  Priyanka Priya,IN,JioSaavn,01-06-2025,3,0.14025,INR
INN892400453,8905574670432,Misake Nokoba,Misake Nokoba,Danish  Nitish Sarma  Prerana Chutia,IN,JioSaavn,01-06-2025,1,0.023375,INR
INN892400285,8909091688734,Jetuka,Jetuka,Arnob  Kaushik Borgohain  Recky Bhuyan,IN,JioSaavn,01-06-2025,24,1.051875,INR
INN892400456,8905574841962,Niyor Xona Abeli,Niyor Xona Abeli,Dhruba Jyoti Das  Paban Kalita,IN,JioSaavn,01-06-2025,3,0.116875,INR
INN892400203,8909091347389,Koneng,Akou Koneng 2024,Papori Gogoi  Raju Nayan,IN,JioSaavn,01-06-2025,3,0.14025,INR
INN892400275,8909091631402,Tu Meri Zindegi,Tu Meri Zindegi,Rupam Nath,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892400152,8909091258029,Tumatei Bilin,Tumatei Bilin,Swarran,IN,JioSaavn,01-06-2025,2,0.23154372,INR
INN892300408,8909040179986,Modono Keli,Modono Keli,Dipsikha Bora  Shyam Sundar Bhuyan,IN,JioSaavn,01-06-2025,4,0.187,INR
INN892400095,8909040949480,Priya Tumi,Dusokur Bhaxare,Pulok Banerjee,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892400459,8905778231170,Tur Apahote,Tur Apahote,Kussum Kailash  Raag Parag  Santipriya Handique  Washim Ayan,IN,JioSaavn,01-06-2025,22,1.71871862,INR
INN892400132,8909091112987,Pole Anupole,Pole Anupole,Banchan Borkotoky  Biswajit Sonowal,IN,JioSaavn,01-06-2025,8,0.374,INR
INN892400267,8909091570633,GKSG,GKSG,Astro  MC Kidd  Wrath,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892500089,8909352006673,Moi Morim Jidina,Moi Morim Jidina,BARNALI DOHUTIA  Bhuban Moran,IN,JioSaavn,01-06-2025,10,0.72021245,INR
INN892400261,8909091521611,Senehor Rongali 2.0,Senehor Rongali 2.0,Dhrtx  Kaushik Borgohain  Pallav Gogoi  Recky Bhuyan,IN,JioSaavn,01-06-2025,3,0.116875,INR
INN892400276,8909091631419,Bohagi Ahise,Bohagi Ahise,Nabangshu Aryan  Naibedya Nath  Rini Yoginath,IN,JioSaavn,01-06-2025,110,6.75160817,INR
INN892300389,8909040085836,Madhubala,Madhubala,Angad Mech,IN,JioSaavn,01-06-2025,0,0,INR
INN892400246,8909091434287,Hora Pateu Koi Jai,Bakhor Dhan,Ananta Abir  Nilakshi Neog,IN,JioSaavn,01-06-2025,22,1.11979372,INR
INN892300464,8909040470410,Morom Xuwonxiri,Morom Xuwonxiri,Anurag Dutta,IN,JioSaavn,01-06-2025,12,0.561,INR
INN892400064,8909040837770,Piyo Maina Dekha,Piyo Maina Dekha,Kapil Tanti  Sunita Bonia,IN,JioSaavn,01-06-2025,7,0.2805,INR
INN892400041,8909040762577,Hiyate Hasisu,Hiyate Hasisu,Sidhartha Bora,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892300456,8909040372523,Tumi Asa Babe,Tumi Asa Babe,Kowshik Deka  Ranamit Sarma,IN,JioSaavn,01-06-2025,3,0.27829372,INR
INN892400263,8909091535229,Mon Potharor Lakhimi,Mon Potharor Lakhimi,Frachengmung Shyam  Mridupawan Rick,IN,JioSaavn,01-06-2025,120,5.83492489,INR
INN892400340,8909154423425,Tumi Mur,Tumi Mur,Anurag Daniyal,IN,JioSaavn,01-06-2025,0,0,INR
INN892400221,8909091403597,Bhal Paike Dekhole,Bhal Paike Dekhole,Dipjyoti Mahli  Kapil Tanti,IN,JioSaavn,01-06-2025,12,0.4675,INR
INN892400111,8909091002530,Mix Of Harmonium Bihu,Mix Of Harmonium Bihu,Ankur Kashyap Music  Ujjal Gogoi,IN,JioSaavn,01-06-2025,50,3.62443723,INR
INN892400324,8909154160610,Adhoruwa Morom (Title Track),Adhoruwa Morom,Arup Jyoti Rabha  Harshraj Pathak  Prasant Das,IN,JioSaavn,01-06-2025,72,4.74643723,INR
INN892500011,8905900887145,Bihu Bihu,Bihu Bihu,Emon Boruah  Rohan Choudhury,IN,JioSaavn,01-06-2025,5,0.37179372,INR
INN892400398,8909225282982,Jaan O Jaan,Jaan O Jaan,Nahid Afrin  Rohan Choudhury,IN,JioSaavn,01-06-2025,45,2.33088117,INR
INN892300413,8909040234128,Tere Bina Jiya Jaye Na,Tere Bina Jiya Jaye Na,Ranamit Sarma  Siddharth Bharadwaj,IN,JioSaavn,01-06-2025,345,18.3243527,INR
INN892400427,8909225586660,Jindagi Sararara,Jindagi Sararara,Kapil Tanti  Michael Pathor,IN,JioSaavn,01-06-2025,228,12.1490269,INR
INN892400354,8909154675497,Hothate (From "Seraa"),Hothate (From "Seraa"),Mizzu Mirzanoor,IN,JioSaavn,01-06-2025,413,22.1323374,INR
INN892400330,8909154249155,Hobane Mur Tumi,Hobane Mur Tumi,Amar Nitya  Bhaskar Opswel  Mridupawan Rick  Rinku Raj Barhoi,IN,JioSaavn,01-06-2025,38,2.44334362,INR
INN892500054,8909225851676,Ligang,Ligang,Amar Nitya  Bornali Kalita  Dipankar Saikia  Rintu Saikia,IN,JioSaavn,01-06-2025,2,0.070125,INR
INN892400428,8909225638864,Anisha,Anisha,Amar Nitya  Jun Kashyap  Pallabi Prayashi,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892400293,8909091783507,Eke Loge Hom Burha aru Burhi,Eke Loge Hom Burha aru Burhi,Siddhant Sagar  Trishagni Baruah,IN,JioSaavn,01-06-2025,5,0.23375,INR
INE302300389,8909040238034,Sidha Kotha,Sidha Kotha,LX  Rajvir 2.0  Shaen,IN,JioSaavn,01-06-2025,7,0.39516872,INR
INE302300232,8905992304728,Ronga Nila,Backlist,LX,IN,JioSaavn,01-06-2025,1,0.023375,INR
INE302400173,8909091978095,Nomoskar,Nomoskar,LX,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892400304,8909091832076,Devotional Chant Of Emotions - Baba Nam Kevalam,Devotional Chant Of Emotions - Baba Nam Kevalam,Katyayani Jha,IN,JioSaavn,01-06-2025,2,0.0935,INR
INN892400454,8905574670418,Devotional Chant Of Emotions 2 - Baba Nam Kevalam,Devotional Chant Of Emotions 2 - Baba Nam Kevalam,Katyayani Jha,IN,JioSaavn,01-06-2025,19,0.89769824,INR
INN892200044,8905574691901,Bhalpua Anubhuti,Tumar Thikona,Abhi Phukan  Bikash Das  Hriday Nanda Saikia  Pallabi Kalita,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892200102,8905778006280,Sukoon Ke Pal,Sukoon Ke Pal,Abhi Phukan  BHK Bhaskar  Longjam Jyoti,IN,JioSaavn,01-06-2025,3,0.14025,INR
INN892300422,8909040275343,O Mahiya,O Mahiya,Lusanti Toppo  Suman Dutta,IN,JioSaavn,01-06-2025,4,0.187,INR
INN892500063,8909225945214,Dhok Dhok,Dhok Dhok,Kapila Basumatary,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892500067,8909225945887,O Angi Nasikai,O Angi Nasikai,Kapila Basumatary,IN,JioSaavn,01-06-2025,1,0.04675,INR
INN892300035,8905778885618,Mon Nike,Mon Nike,Anuranjan Hajong,IN,JioSaavn,01-06-2025,11,0.6538335,INR
INN892200212,8905778462581,Kajol Kajol,Kajol Kajol,Barasha Hajong  Punom Kr Hajong,IN,JioSaavn,01-06-2025,2,0.23154372,INR
